"","Condition","Percent","mean_value","sd_value","se_value"
"1","V1 45","0",0.0210391902445439,0.0245871416605006,0.00434643364953357
"2","V1 45","10",0.0347801488349061,0.0228940588856349,0.00404713607172915
"3","V1 45","20",0.0353546132430351,0.0222376157405513,0.00393109222189113
"4","V1 45","40",0.0292043384103995,0.0173265499714967,0.00306293024485323
"5","V1 45","60",0.0266510460908798,0.0143104462631214,0.00252975339861471
"6","V1 45","100",0.0290171190935061,0.0154498036060253,0.00273116522445521
"7","V1 90","0",0.0261048649315746,0.0235582813901777,0.00416455513102387
"8","V1 90","10",0.0305779720994176,0.018816464954284,0.00332631249178331
"9","V1 90","20",0.0290630384681296,0.0160847995974115,0.00284341771733908
"10","V1 90","40",0.0255490269790314,0.0127896745874046,0.00226091640748076
"11","V1 90","60",0.0234004735192257,0.0115481150273321,0.0020414376114372
"12","V1 90","100",0.0266636120405602,0.0159642788470274,0.0028221124573715
"13","V1 135","0",0.01532637197278,0.0146049922391548,0.00258182226287081
"14","V1 135","10",0.0266588977915973,0.0190340307504469,0.00336477305423857
"15","V1 135","20",0.0263908055545319,0.0141657573007282,0.00250417576199694
"16","V1 135","40",0.0250613295477883,0.0116171034968815,0.00205363316509772
"17","V1 135","60",0.0225939381775129,0.0104491429033676,0.00184716495113964
"18","V1 135","100",0.0249896401474151,0.0140120217361177,0.00247699889693553
"19","PPC 45","0",0.0256941516237351,0.0196498974711464,0.00358756403253688
"20","PPC 45","10",0.0374202263612568,0.0229209059206743,0.00418476573706902
"21","PPC 45","20",0.0390934735867135,0.024600759953042,0.00449146371935027
"22","PPC 45","40",0.0376705723285117,0.021237890913505,0.0038774906423869
"23","PPC 45","60",0.0358998975457159,0.0197304278274741,0.00360226679677841
"24","PPC 45","100",0.0349950050978502,0.0205121239016708,0.00374498432109533
"25","PPC 90","0",0.0279171488736891,0.0252727294132387,0.00461414799645172
"26","PPC 90","10",0.0419486673495082,0.0275379239705664,0.00502771404851381
"27","PPC 90","20",0.0408944072660296,0.0228008392765299,0.00416284466726841
"28","PPC 90","40",0.0405746044172168,0.0224513769625771,0.00409904186981843
"29","PPC 90","60",0.0381367830815442,0.0198537911373138,0.0036247897526343
"30","PPC 90","100",0.0370524169332722,0.0197429194151978,0.00360454743823685
"31","PPC 135","0",0.0133660358380004,0.018007013084955,0.00328761575330685
"32","PPC 135","10",0.0351542317128782,0.0198283651319402,0.00362014762040419
"33","PPC 135","20",0.0369179590602421,0.0193472034798539,0.00353229992351947
"34","PPC 135","40",0.0351690595032462,0.0172024033160221,0.003140714779829
"35","PPC 135","60",0.0334480668017023,0.0165158340131439,0.00301536494833666
"36","PPC 135","100",0.0328425309482247,0.016620584782235,0.00303448973471907
