"","Condition","Percent","paradigm","name","slopes"
"1","V1_45","0","task","Homo",0.025269626656389
"2","V1_45","0","task","Hetero",0.0150758705036811
"3","V1_45","0","task","Homo",0.00721541896508985
"4","V1_45","0","task","Hetero",0.0137328072346719
"5","V1_45","0","task","Homo",0.036988772086976
"6","V1_45","0","task","Hetero",0.044961892176404
"7","V1_45","0","task","Homo",0.0133724448258307
"8","V1_45","0","task","Hetero",0.00949228698173046
"9","V1_45","0","task","Homo",0.0650998754598424
"10","V1_45","0","task","Hetero",0.0700703085389806
"11","V1_45","0","task","Homo",0.0329168112888079
"12","V1_45","0","task","Hetero",0.0313777616759121
"13","V1_45","0","task","Homo",0.012962814962814
"14","V1_45","0","task","Hetero",0.011512632754097
"15","V1_45","0","task","Homo",0
"16","V1_45","0","task","Hetero",0
"17","V1_45","0","task","Homo",0.0984197607971245
"18","V1_45","0","task","Hetero",0.102498415104532
"19","V1_45","0","task","Homo",0.0623528189975958
"20","V1_45","0","task","Hetero",0.0732603601859158
"21","V1_45","10","task","Homo",0.0309540895865963
"22","V1_45","10","task","Hetero",0.022615304479198
"23","V1_45","10","task","Homo",0.0148897548198083
"24","V1_45","10","task","Hetero",0.0270889860946213
"25","V1_45","10","task","Homo",0.048872386966754
"26","V1_45","10","task","Hetero",0.0472348818905001
"27","V1_45","10","task","Homo",0.0309390336420514
"28","V1_45","10","task","Hetero",0.0341554810593451
"29","V1_45","10","task","Homo",0.105157093417715
"30","V1_45","10","task","Hetero",0.0804663848208783
"31","V1_45","10","task","Homo",0.0420232044099265
"32","V1_45","10","task","Hetero",0.0347314661171229
"33","V1_45","10","task","Homo",0.0146443235607773
"34","V1_45","10","task","Hetero",0.0165139870868438
"35","V1_45","10","task","Homo",0.044351111364201
"36","V1_45","10","task","Hetero",0.0141119981499806
"37","V1_45","10","task","Homo",0.0907191500972695
"38","V1_45","10","task","Hetero",0.0833109596711727
"39","V1_45","10","task","Homo",0.0611905309131459
"40","V1_45","10","task","Hetero",0.0521189830088436
"41","V1_45","20","task","Homo",0.0267796428645774
"42","V1_45","20","task","Hetero",0.0168899930200511
"43","V1_45","20","task","Homo",0.0156869388160238
"44","V1_45","20","task","Hetero",0.0207043339703609
"45","V1_45","20","task","Homo",0.0455458108485603
"46","V1_45","20","task","Hetero",0.0451248538465661
"47","V1_45","20","task","Homo",0.0316874824259735
"48","V1_45","20","task","Hetero",0.0242504341009503
"49","V1_45","20","task","Homo",0.0866267562797734
"50","V1_45","20","task","Hetero",0.0759827499317968
"51","V1_45","20","task","Homo",0.0454180601723228
"52","V1_45","20","task","Hetero",0.0368893829051881
"53","V1_45","20","task","Homo",0.0127484278124786
"54","V1_45","20","task","Hetero",0.0132321741032316
"55","V1_45","20","task","Homo",0.0298116345263001
"56","V1_45","20","task","Hetero",0.0199134033930816
"57","V1_45","20","task","Homo",0.0663378621310177
"58","V1_45","20","task","Hetero",0.0764254823431874
"59","V1_45","20","task","Homo",0.05203303801084
"60","V1_45","20","task","Hetero",0.0459234186223785
"61","V1_45","40","task","Homo",0.032858019836902
"62","V1_45","40","task","Hetero",0.0208490510088945
"63","V1_45","40","task","Homo",0.0164736814957806
