"","paradigm","Condition","Percent","mean_value","sd_value","se_value"
"1","task","V1 45","0",0.0363290339598197,0.0318986942710969,0.00713276487836558
"2","task","V1 45","10",0.0448044555578376,0.0269595904957996,0.00602834769941652
"3","task","V1 45","20",0.039400594006233,0.0226110610982519,0.00505598696590923
"4","task","V1 45","40",0.0359191890749887,0.0180969960919542,0.00404661134501575
"5","task","V1 45","60",0.0345794622182724,0.0176597275303588,0.00394883512220068
"6","task","V1 45","100",0.0401842848922079,0.0201073515020218,0.00449614048060033
"7","task","V1 90","0",0.0313197621758344,0.0161755374017729,0.00361696012029546
"8","task","V1 90","10",0.0401215307319702,0.0165009039187361,0.00368971428524866
"9","task","V1 90","20",0.0384787089917531,0.0160279048149752,0.00358394847031808
"10","task","V1 90","40",0.036266684102352,0.0133696933546515,0.0029895543179328
"11","task","V1 90","60",0.0321438735794272,0.011572709882603,0.00258773659813839
"12","task","V1 90","100",0.0387705102143291,0.0189676194259526,0.00424128864077755
"13","task","V1 135","0",0.0164866151746393,0.0215697040343465,0.00482313244753502
"14","task","V1 135","10",0.0303412770627823,0.0217490887770455,0.00486324409541515
"15","task","V1 135","20",0.0312652828625746,0.0155770092886008,0.00348312516554571
"16","task","V1 135","40",0.0296833716177851,0.0137133135279058,0.00306639012451649
"17","task","V1 135","60",0.0270824756313389,0.0119556175210473,0.00267335734900493
"18","task","V1 135","100",0.0308677405994918,0.0149248623619191,0.00333730067960792
"19","task","PPC 45","0",0.0279508385466051,0.0240954746621029,0.00643978648266297
"20","task","PPC 45","10",0.0475573168199302,0.0251847663236246,0.00673091192492611
"21","task","PPC 45","20",0.0481885703225788,0.0273004778996947,0.0072963596282751
"22","task","PPC 45","40",0.0448204083034069,0.0254705736965957,0.0068072971583741
"23","task","PPC 45","60",0.0404062251525444,0.0220554200037663,0.00589455894110671
"24","task","PPC 45","100",0.040637614341844,0.0223752740878881,0.00598004354085986
"25","task","PPC 90","0",0.0333140926905055,0.0236320733807373,0.0063159372807014
"26","task","PPC 90","10",0.048161601928268,0.0277244780806452,0.00740967844320703
"27","task","PPC 90","20",0.048649541305265,0.0247708803486588,0.00662029624524663
"28","task","PPC 90","40",0.0460833427640992,0.0255100504183543,0.00681784775605793
"29","task","PPC 90","60",0.0421562231012888,0.0215618545318823,0.0057626480201259
"30","task","PPC 90","100",0.0410031340094121,0.0197771932413335,0.00528567722722078
"31","task","PPC 135","0",0.0233795429210373,0.0207569137737178,0.00554751855343292
"32","task","PPC 135","10",0.0499425898031075,0.0296041460345778,0.00791204083495805
"33","task","PPC 135","20",0.0500812360458633,0.0266128805267904,0.00711259150045698
"34","task","PPC 135","40",0.0456684744083366,0.0220903542227935,0.00590389550386916
"35","task","PPC 135","60",0.041641187313482,0.0202747651830932,0.00541865892231627
"36","task","PPC 135","100",0.0409127422083887,0.0190084285516061,0.00508021622150583
"37","passive","V1 45","0",0.00875316695885671,0.016369661895842,0.00472551435105378
"38","passive","V1 45","10",0.0412204805075567,0.0404397219365889,0.0116739421730216
"39","passive","V1 45","20",0.0348882318910901,0.0251345370133856,0.00725571585531739
"40","passive","V1 45","40",0.033784098194285,0.0212193442984246,0.00612549707136141
"41","passive","V1 45","60",0.0317928258925013,0.0197432512770849,0.00569938571975169
"42","passive","V1 45","100",0.0321038864680141,0.0179374796274566,0.00517810434574776
"43","passive","V1 90","0",0,0,0
"44","passive","V1 90","10",0.0258750219968161,0.0173243452633989,0.0050011077006787
"45","passive","V1 90","20",0.0280818722955059,0.0136079515934543,0.00392827725780013
"46","passive","V1 90","40",0.0264557770738105,0.0131762188447056,0.00380364674844609
"47","passive","V1 90","60",0.0263817700770642,0.0146300753624039,0.00422333897437421
"48","passive","V1 90","100",0.0275211752121177,0.0182111353839489,0.00525710195808581
"49","passive","V1 135","0",0.0174780559488658,0.0132734622266917,0.00383171849482939
"50","passive","V1 135","10",0.0305287986763674,0.0155419863093802,0.00448658498973106
"51","passive","V1 135","20",0.0281593030032173,0.0157477067619926,0.00454597136907785
"52","passive","V1 135","40",0.0305887090940971,0.0187268808755403,0.00540598485728764
"53","passive","V1 135","60",0.0303311773866281,0.0168025664764526,0.00485048313912824
"54","passive","V1 135","100",0.0321128186453596,0.0170285134066081,0.00491570839960216
"55","passive","PPC 45","0",0.0150809569907015,0.0177091272927659,0.00442728182319148
"56","passive","PPC 45","10",0.039608781689829,0.0255278593999829,0.00638196484999573
"57","passive","PPC 45","20",0.0449292260299018,0.0280891108634866,0.00702227771587166
"58","passive","PPC 45","40",0.0480247242678926,0.0317544091278121,0.00793860228195304
"59","passive","PPC 45","60",0.046687530841061,0.0271444342013663,0.00678610855034156
"60","passive","PPC 45","100",0.0441427830765979,0.026729678185955,0.00668241954648875
"61","passive","PPC 90","0",0.0239459444654191,0.0265629288996732,0.00664073222491829
"62","passive","PPC 90","10",0.0429614103631136,0.0325550162188215,0.00813875405470538
"63","passive","PPC 90","20",0.0443850045988898,0.0251846751123154,0.00629616877807885
"64","passive","PPC 90","40",0.0500343214432629,0.0286035322696757,0.00715088306741891
"65","passive","PPC 90","60",0.0492032997856012,0.0267059996894086,0.00667649992235214
"66","passive","PPC 90","100",0.0498732380192524,0.0274749380591332,0.00686873451478329
"67","passive","PPC 135","0",0,0,0
"68","passive","PPC 135","10",0.0255381281916407,0.0160223689966017,0.00400559224915044
"69","passive","PPC 135","20",0.0342025518263603,0.0169763217837698,0.00424408044594246
"70","passive","PPC 135","40",0.0377115091628209,0.0170001755208971,0.00425004388022428
"71","passive","PPC 135","60",0.0374260082238138,0.0183280860718242,0.00458202151795605
"72","passive","PPC 135","100",0.0381362746473395,0.0192670259884927,0.00481675649712317
