"","Paradigm","Condition","Percentage","Homocells","Homo","Hetero"
"2","task","V1 45","10",20,100,35
"3","task","V1 45","20",39,89.7435897435897,17.9487179487179
"4","task","V1 45","40",78,44.8717948717949,15.3846153846154
"5","task","V1 45","60",116,30.1724137931034,15.5172413793103
"6","task","V1 45","100",193,18.1347150259067,13.4715025906736
"7","task","V1 45","10",9,100,11.1111111111111
"8","task","V1 45","20",18,55.5555555555556,11.1111111111111
"9","task","V1 45","40",35,28.5714285714286,8.57142857142857
"10","task","V1 45","60",53,18.8679245283019,15.0943396226415
"11","task","V1 45","100",87,11.4942528735632,12.6436781609195
"12","task","V1 45","10",11,100,54.5454545454545
"13","task","V1 45","20",22,100,45.4545454545455
"14","task","V1 45","40",44,81.8181818181818,43.1818181818182
"15","task","V1 45","60",66,54.5454545454545,43.9393939393939
"16","task","V1 45","100",110,32.7272727272727,32.7272727272727
"17","task","V1 45","10",17,100,29.4117647058824
"18","task","V1 45","20",33,100,33.3333333333333
"19","task","V1 45","40",65,56.9230769230769,24.6153846153846
"20","task","V1 45","60",98,37.7551020408163,18.3673469387755
"21","task","V1 45","100",162,22.8395061728395,16.0493827160494
"22","task","V1 45","10",40,100,15
"23","task","V1 45","20",79,73.4177215189873,12.6582278481013
"24","task","V1 45","40",157,36.9426751592357,12.7388535031847
"25","task","V1 45","60",236,24.5762711864407,13.5593220338983
"26","task","V1 45","100",392,14.7959183673469,12.5
"27","task","V1 45","10",37,100,16.2162162162162
"28","task","V1 45","20",74,60.8108108108108,13.5135135135135
"29","task","V1 45","40",147,30.6122448979592,13.6054421768707
"30","task","V1 45","60",221,20.3619909502262,13.5746606334842
"31","task","V1 45","100",367,12.2615803814714,13.0790190735695
"32","task","V1 45","10",22,100,27.2727272727273
"33","task","V1 45","20",43,51.1627906976744,23.2558139534884
"34","task","V1 45","40",86,25.5813953488372,19.7674418604651
"35","task","V1 45","60",128,17.1875,16.40625
"36","task","V1 45","100",213,10.3286384976526,14.0845070422535
"37","task","V1 45","10",6,100,33.3333333333333
"38","task","V1 45","20",11,100,36.3636363636364
"39","task","V1 45","40",22,59.0909090909091,27.2727272727273
"40","task","V1 45","60",33,39.3939393939394,24.2424242424242
"41","task","V1 45","100",55,23.6363636363636,18.1818181818182
"42","task","V1 45","10",10,100,30
"43","task","V1 45","20",20,55,20
"44","task","V1 45","40",40,27.5,20
"45","task","V1 45","60",60,18.3333333333333,13.3333333333333
"46","task","V1 45","100",100,11,12
"47","task","V1 45","10",6,100,0
"48","task","V1 45","20",12,100,0
"49","task","V1 45","40",24,54.1666666666667,0
"50","task","V1 45","60",36,36.1111111111111,5.55555555555556
"51","task","V1 45","100",59,22.0338983050847,6.77966101694915
"52","task","V1 90","10",16,100,6.25
"53","task","V1 90","20",32,56.25,6.25
"54","task","V1 90","40",63,28.5714285714286,6.34920634920635
"55","task","V1 90","60",95,18.9473684210526,8.42105263157895
"56","task","V1 90","100",157,11.4649681528662,9.55414012738854
"57","task","V1 90","10",7,100,14.2857142857143
"58","task","V1 90","20",14,71.4285714285714,21.4285714285714
"59","task","V1 90","40",28,35.7142857142857,14.2857142857143
"60","task","V1 90","60",41,24.390243902439,9.75609756097561
"61","task","V1 90","100",68,14.7058823529412,11.7647058823529
"62","task","V1 90","10",9,100,11.1111111111111
"63","task","V1 90","20",17,58.8235294117647,5.88235294117647
"64","task","V1 90","40",34,29.4117647058824,2.94117647058824
"65","task","V1 90","60",51,19.6078431372549,1.96078431372549
"66","task","V1 90","100",85,11.7647058823529,7.05882352941176
"67","task","V1 90","10",20,100,45
"68","task","V1 90","20",40,92.5,37.5
"69","task","V1 90","40",80,46.25,27.5
"70","task","V1 90","60",119,31.0924369747899,19.327731092437
"71","task","V1 90","100",198,18.6868686868687,16.6666666666667
"72","task","V1 90","10",41,100,19.5121951219512
"73","task","V1 90","20",82,64.6341463414634,17.0731707317073
"74","task","V1 90","40",164,32.3170731707317,14.0243902439024
"75","task","V1 90","60",246,21.5447154471545,11.3821138211382
"76","task","V1 90","100",409,12.958435207824,11.4914425427873
"77","task","V1 90","10",42,100,19.047619047619
"78","task","V1 90","20",83,56.6265060240964,14.4578313253012
"79","task","V1 90","40",166,28.3132530120482,11.4457831325301
"80","task","V1 90","60",248,18.9516129032258,12.9032258064516
"81","task","V1 90","100",413,11.3801452784504,11.864406779661
"82","task","V1 90","10",30,100,23.3333333333333
"83","task","V1 90","20",60,88.3333333333333,16.6666666666667
"84","task","V1 90","40",119,44.5378151260504,14.2857142857143
"85","task","V1 90","60",179,29.608938547486,11.1731843575419
"86","task","V1 90","100",297,17.8451178451178,12.1212121212121
"87","task","V1 90","10",7,100,0
"88","task","V1 90","20",14,100,0
"89","task","V1 90","40",28,50,0
"90","task","V1 90","60",41,34.1463414634146,4.8780487804878
"91","task","V1 90","100",68,20.5882352941176,8.82352941176471
"92","task","V1 90","10",12,100,25
"93","task","V1 90","20",23,100,21.7391304347826
"94","task","V1 90","40",45,55.5555555555556,22.2222222222222
"95","task","V1 90","60",68,36.7647058823529,16.1764705882353
"96","task","V1 90","100",112,22.3214285714286,12.5
"97","task","V1 90","10",6,100,0
"98","task","V1 90","20",12,58.3333333333333,0
"99","task","V1 90","40",24,29.1666666666667,8.33333333333333
"100","task","V1 90","60",36,19.4444444444444,8.33333333333333
"101","task","V1 90","100",59,11.864406779661,10.1694915254237
"102","task","V1 135","10",12,91.6666666666667,8.33333333333333
"103","task","V1 135","20",24,45.8333333333333,4.16666666666667
"104","task","V1 135","40",48,22.9166666666667,6.25
"105","task","V1 135","60",71,15.4929577464789,8.45070422535211
"106","task","V1 135","100",118,9.32203389830508,10.1694915254237
"107","task","V1 135","10",8,100,12.5
"108","task","V1 135","20",16,56.25,6.25
"109","task","V1 135","40",31,29.0322580645161,9.67741935483871
"110","task","V1 135","60",46,19.5652173913043,13.0434782608696
"111","task","V1 135","100",76,11.8421052631579,11.8421052631579
"112","task","V1 135","10",8,100,37.5
"113","task","V1 135","20",15,73.3333333333333,40
"114","task","V1 135","40",29,37.9310344827586,31.0344827586207
"115","task","V1 135","60",44,25,25
"116","task","V1 135","100",72,15.2777777777778,25
"117","task","V1 135","10",20,100,10
"118","task","V1 135","20",40,92.5,7.5
"119","task","V1 135","40",79,46.8354430379747,8.86075949367089
"120","task","V1 135","60",119,31.0924369747899,12.6050420168067
