"","Condition","Tuned","NonTuned","PercentageTuned","PercentageNonTuned"
"2","PPC_135",10,127,7.299,92.701
"3","PPC_135",8,67,10.667,89.333
"4","PPC_135",14,126,10,90
"5","PPC_135",14,88,13.725,86.275
"6","PPC_135",50,416,10.73,89.27
"7","PPC_135",11,281,3.767,96.233
"8","PPC_135",31,298,9.422,90.578
"9","PPC_45",12,62,16.216,83.784
"10","PPC_45",36,206,14.876,85.124
"11","PPC_45",23,135,14.557,85.443
"12","PPC_45",9,91,9,91
"13","PPC_45",30,329,8.357,91.643
"14","PPC_45",27,241,10.075,89.925
"15","PPC_45",42,375,10.072,89.928
"16","PPC_90",13,152,7.879,92.121
"17","PPC_90",10,59,14.493,85.507
"18","PPC_90",11,113,8.871,91.129
"19","PPC_90",11,87,11.224,88.776
"20","PPC_90",42,534,7.292,92.708
"21","PPC_90",20,230,8,92
"22","PPC_90",38,313,10.826,89.174
"23","V1_135",11,107,9.322,90.678
"24","V1_135",9,67,11.842,88.158
"25","V1_135",11,61,15.278,84.722
"26","V1_135",37,160,18.782,81.218
"27","V1_135",57,436,11.562,88.438
"28","V1_135",53,319,14.247,85.753
"29","V1_135",55,237,18.836,81.164
"30","V1_135",8,38,17.391,82.609
"31","V1_135",27,98,21.6,78.4
"32","V1_135",6,37,13.953,86.047
"33","V1_45",35,158,18.135,81.865
"34","V1_45",10,77,11.494,88.506
"35","V1_45",36,74,32.727,67.273
"36","V1_45",37,125,22.84,77.16
"37","V1_45",58,334,14.796,85.204
"38","V1_45",45,322,12.262,87.738
"39","V1_45",22,191,10.329,89.671
"40","V1_45",13,42,23.636,76.364
"41","V1_45",11,89,11,89
"42","V1_45",13,46,22.034,77.966
"43","V1_90",18,139,11.465,88.535
"44","V1_90",10,58,14.706,85.294
"45","V1_90",10,75,11.765,88.235
"46","V1_90",37,161,18.687,81.313
"47","V1_90",53,356,12.958,87.042
"48","V1_90",47,366,11.38,88.62
"49","V1_90",53,244,17.845,82.155
"50","V1_90",14,54,20.588,79.412
"51","V1_90",25,87,22.321,77.679
"52","V1_90",7,52,11.864,88.136
