"","Paradigm","Condition","Percent","variable","mean_value","sd_value","se_value"
"1","Task","V1 45","0","Homo",0.119802685757145,0.061354590823294,0.0204515302744313
"2","Task","V1 45","0","Hetero",0.11497429978087,0.0490945534073064,0.0163648511357688
"3","Task","V1 45","10","Homo",0.162830050647057,0.0401759673661805,0.0133919891220602
"4","Task","V1 45","10","Hetero",0.168785788798678,0.0445087233705895,0.0148362411235298
"5","Task","V1 45","20","Homo",0.163433337237121,0.0247793885454963,0.00825979618183208
"6","Task","V1 45","20","Hetero",0.175643918022151,0.0348964236758744,0.0116321412252915
"7","Task","V1 45","40","Homo",0.170881528335251,0.0249381130623567,0.00831270435411889
"8","Task","V1 45","40","Hetero",0.169959171714861,0.0226167158347908,0.00753890527826362
"9","Task","V1 45","60","Homo",0.167360162310882,0.025501749429954,0.00850058314331799
"10","Task","V1 45","60","Hetero",0.166519294220565,0.0175405780335329,0.00584685934451095
"11","Task","V1 45","100","Homo",0.164958951374779,0.0258917997119788,0.00863059990399293
"12","Task","V1 45","100","Hetero",0.161315897649151,0.021136315793224,0.00704543859774132
"13","Task","V1 90","0","Homo",0.113741207354649,0.0995461483513977,0.0331820494504659
"14","Task","V1 90","0","Hetero",0.0949927775965489,0.0798469548255583,0.0266156516085194
"15","Task","V1 90","10","Homo",0.178788175296406,0.0399031027848031,0.013301034261601
"16","Task","V1 90","10","Hetero",0.149257792497785,0.0261912804012694,0.00873042680042314
"17","Task","V1 90","20","Homo",0.178837071218441,0.0377931934865594,0.0125977311621865
"18","Task","V1 90","20","Hetero",0.144397437629304,0.019084334719903,0.00636144490663435
"19","Task","V1 90","40","Homo",0.177793396640412,0.0354793312460417,0.0118264437486806
"20","Task","V1 90","40","Hetero",0.146185868675934,0.0174390202384457,0.00581300674614855
"21","Task","V1 90","60","Homo",0.177430842782481,0.0433210256494122,0.0144403418831374
"22","Task","V1 90","60","Hetero",0.14727212662799,0.0149032787567965,0.00496775958559883
"23","Task","V1 90","100","Homo",0.170037735110643,0.0392063912960913,0.0130687970986971
"24","Task","V1 90","100","Hetero",0.147982492930237,0.015404227602827,0.00513474253427566
"25","Task","V1 135","0","Homo",0.0807474839648623,0.0512346620124877,0.0170782206708292
"26","Task","V1 135","0","Hetero",0.0509311937921581,0.0321648583173119,0.010721619439104
"27","Task","V1 135","10","Homo",0.1764993294244,0.0477722317079449,0.0159240772359816
"28","Task","V1 135","10","Hetero",0.115220869926023,0.0310836123052477,0.0103612041017492
"29","Task","V1 135","20","Homo",0.177342372112513,0.0388035444935933,0.0129345148311978
"30","Task","V1 135","20","Hetero",0.116810126251832,0.0177918380134837,0.00593061267116122
"31","Task","V1 135","40","Homo",0.179748829208297,0.0365896066558384,0.0121965355519461
"32","Task","V1 135","40","Hetero",0.130938429643652,0.0177560703282094,0.00591869010940315
"33","Task","V1 135","60","Homo",0.178478426894459,0.0313487674345142,0.0104495891448381
"34","Task","V1 135","60","Hetero",0.133659775189661,0.0146882224139747,0.00489607413799158
"35","Task","V1 135","100","Homo",0.174060207610623,0.0341788919339374,0.0113929639779791
"36","Task","V1 135","100","Hetero",0.137580151848102,0.0140085634934342,0.00466952116447807
"37","Task","PPC 45","0","Homo",0.0862892058605537,0.0406083938426194,0.0165783073647326
"38","Task","PPC 45","0","Hetero",0.0880880170667868,0.0431945094929077,0.0176340846579047
"39","Task","PPC 45","10","Homo",0.142614050860115,0.0271352949885181,0.0110779377902952
"40","Task","PPC 45","10","Hetero",0.124763855663841,0.0257643750653581,0.0105182620753022
"41","Task","PPC 45","20","Homo",0.13991987849744,0.022144334628029,0.00904038675535256
"42","Task","PPC 45","20","Hetero",0.146710640507436,0.0260859452874985,0.0106495425687551
"43","Task","PPC 45","40","Homo",0.144699738478614,0.0176025088993185,0.00718619416602171
"44","Task","PPC 45","40","Hetero",0.145203017632869,0.0198976783001576,0.00812319315023923
"45","Task","PPC 45","60","Homo",0.140150694501547,0.0186643223460455,0.00761967769043956
"46","Task","PPC 45","60","Hetero",0.143987665978966,0.0120267494033088,0.00490989988373811
"47","Task","PPC 45","100","Homo",0.139373667556686,0.007413079630804,0.00302637708634822
"48","Task","PPC 45","100","Hetero",0.14613469233853,0.013972727346433,0.00570434205229896
"49","Task","PPC 90","0","Homo",0,0,0
"50","Task","PPC 90","0","Hetero",0,0,0
"51","Task","PPC 90","10","Homo",0.142960827555756,0.0118265530620193,0.00482817006964956
"52","Task","PPC 90","10","Hetero",0.114106938784262,0.0210347336906413,0.00858739406956693
"53","Task","PPC 90","20","Homo",0.151972150973497,0.0313363333702875,0.0127930045278256
"54","Task","PPC 90","20","Hetero",0.127354923412993,0.018809091575098,0.00767877948071199
"55","Task","PPC 90","40","Homo",0.142585649236387,0.0189314614106736,0.0077287367568901
"56","Task","PPC 90","40","Hetero",0.1274860213494,0.014864590863175,0.00606844380833596
"57","Task","PPC 90","60","Homo",0.145479336420745,0.0146206833188498,0.00596886897033393
"58","Task","PPC 90","60","Hetero",0.130522846544741,0.0192683013650093,0.00786625109240758
"59","Task","PPC 90","100","Homo",0.141318865601551,0.0121925812770049,0.00497760046267897
"60","Task","PPC 90","100","Hetero",0.128177703675834,0.0134275015653593,0.00548175455925879
"61","Task","PPC 135","0","Homo",0.0759737582532951,0.0557758320285457,0.0227703880748534
"62","Task","PPC 135","0","Hetero",0.0384214480177687,0.0274062439767564,0.0111885522515464
"63","Task","PPC 135","10","Homo",0.170196987456832,0.0479066535749419,0.0195578094238145
"64","Task","PPC 135","10","Hetero",0.1342491408883,0.0261006732162597,0.010655555220494
"65","Task","PPC 135","20","Homo",0.161329421719169,0.0281322369562744,0.0114849376443233
"66","Task","PPC 135","20","Hetero",0.149624194542768,0.0318843887629451,0.0130167472049576
"67","Task","PPC 135","40","Homo",0.154682003785229,0.0194726740414645,0.00794968588818792
"68","Task","PPC 135","40","Hetero",0.145471635925077,0.0225991911586235,0.0092260811563741
"69","Task","PPC 135","60","Homo",0.148683237472575,0.0166477061050998,0.0067963975575518
"70","Task","PPC 135","60","Hetero",0.142892666840384,0.0148342879205727,0.00605607268382254
"71","Task","PPC 135","100","Homo",0.143117725104152,0.0102564522147641,0.00418717908290175
"72","Task","PPC 135","100","Hetero",0.140303956062765,0.0140923211845988,0.00575316603228014
"73","Passive","V1 45","0","Homo",0,0,0
"74","Passive","V1 45","0","Hetero",0,0,0
"75","Passive","V1 45","10","Homo",0.12397404496679,0.0703699604681594,0.0314704030361554
"76","Passive","V1 45","10","Hetero",0.0937299213876732,0.0353089248875893,0.0157906312522168
"77","Passive","V1 45","20","Homo",0.116182051317241,0.0474156292139948,0.0212049140236835
"78","Passive","V1 45","20","Hetero",0.110543442593816,0.0283947244996942,0.012698506836739
"79","Passive","V1 45","40","Homo",0.112294968425687,0.0395199576800411,0.0176738623680973
"80","Passive","V1 45","40","Hetero",0.112974957546568,0.0233491574809389,0.0104420606689454
"81","Passive","V1 45","60","Homo",0.112398836694645,0.0245048537990821,0.0109589037746883
"82","Passive","V1 45","60","Hetero",0.118318670490933,0.0183265330336145,0.00819587473101151
"83","Passive","V1 45","100","Homo",0.129052983229688,0.0274808695150474,0.0122898184632895
"84","Passive","V1 45","100","Hetero",0.115598828406143,0.0134738441716573,0.00602568629721299
"85","Passive","V1 90","0","Homo",0,0,0
"86","Passive","V1 90","0","Hetero",0.025369688621736,0.0176057711986302,0.00787354023928902
